PARAMETER：
IMG_HEIGHT =  345;
IMG_WIDTH =  400;
ITER = 10000;  // 随机取点次数
PLANE_OR_NOT =0.1;  // 判断是否为平面的分界线

-----------------------------
RESULT:
basePath = "/home/zhoujie/liveness detection/raw文件/face";
pretotal = 3045,_ary = 0.226765,196.raw不是人脸
pretotal = 6306,_ary = 0.289014,217.raw不是人脸
pretotal = 2920,_ary = 0.205272,204.raw不是人脸
pretotal = 7620,_ary = 0.357260,144.raw不是人脸
pretotal = 2650,_ary = 0.208809,51.raw不是人脸
pretotal = 4634,_ary = 0.222201,19.raw不是人脸
pretotal = 1739,_ary = 0.166300,121.raw不是人脸
pretotal = 5814,_ary = 0.337278,64.raw不是人脸
pretotal = 1899,_ary = 0.183923,123.raw不是人脸
pretotal = 5937,_ary = 0.320486,147.raw不是人脸
pretotal = 3337,_ary = 0.178268,26.raw不是人脸
pretotal = 1889,_ary = 0.179069,119.raw不是人脸
pretotal = 3657,_ary = 0.281785,98.raw不是人脸
pretotal = 5441,_ary = 0.302614,158.raw不是人脸
pretotal = 5477,_ary = 0.307231,174.raw不是人脸
pretotal = 5391,_ary = 0.275515,159.raw不是人脸
pretotal = 3783,_ary = 0.229495,28.raw不是人脸
pretotal = 6400,_ary = 0.335236,145.raw不是人脸
pretotal = 5579,_ary = 0.311485,148.raw不是人脸
pretotal = 2014,_ary = 0.198463,125.raw不是人脸
pretotal = 5273,_ary = 0.302022,162.raw不是人脸
pretotal = 5414,_ary = 0.288808,214.raw不是人脸
pretotal = 5427,_ary = 0.301584,170.raw不是人脸
pretotal = 3987,_ary = 0.289921,101.raw不是人脸
pretotal = 4824,_ary = 0.288638,212.raw不是人脸
pretotal = 3505,_ary = 0.258977,45.raw不是人脸
pretotal = 2459,_ary = 0.224055,129.raw不是人脸
pretotal = 3712,_ary = 0.242219,209.raw不是人脸
pretotal = 1905,_ary = 0.182944,116.raw不是人脸
pretotal = 3975,_ary = 0.260451,191.raw不是人脸
pretotal = 5535,_ary = 0.298126,216.raw不是人脸


